ID#	1											
Name	Methane											
	Data Filename	Sample Type	Level#	Ret. Time	Area	Height	Conc.	Std. Conc.	Area%	Height%	Accuracy[%]	Cal. Point
8	200$200$0 CO2$CH4$N2O_7272023_1212_007.gcd	Unknown	0	5.998	2127533	160075	241.812	-----	60.188	53.607	-----	-----
9	125$500$0 CO2$CH4$N2O_7272023_1212_008.gcd	Unknown	0	5.998	1943641	146414	220.911	-----	27.014	22.13	-----	-----
10	250$1000$0 CO2$CH4$N2O_7272023_1212_009.gcd	Unknown	0	5.996	3229714	243148	367.084	-----	27.331	22.373	-----	-----
11	500$2000$0 CO2$CH4$N2O_7272023_1212_010.gcd	Unknown	0	5.999	5272551	395927	599.269	-----	24.168	19.712	-----	-----
12	1000$4000$0 CO2$CH4$N2O_7272023_1212_011.gcd	Unknown	0	5.997	6819974	509417	775.147	-----	20.277	16.365	-----	-----
13	A-1300_7272023_1212_012.gcd	Unknown	0	5.997	2268885	171091	257.878	-----	66.957	60.586	-----	-----
14	A-1301_7272023_1212_013.gcd	Unknown	0	5.997	1673456	126277	190.202	-----	54.618	47.73	-----	-----
15	A-1302_7272023_1212_014.gcd	Unknown	0	5.998	2209973	166383	251.182	-----	66.288	59.932	-----	-----
16	A-1303_7272023_1212_015.gcd	Unknown	0	5.997	3344510	251372	380.131	-----	36.089	30.179	-----	-----
17	A-1304_7272023_1212_016.gcd	Unknown	0	5.997	3491241	261950	396.808	-----	30.344	25.059	-----	-----
18	A-1305_7272023_1212_017.gcd	Unknown	0	5.996	3275370	245639	372.273	-----	33.177	27.575	-----	-----
19	A-1306_7272023_1212_018.gcd	Unknown	0	5.997	1436693	107959	163.292	-----	67.152	60.89	-----	-----
20	A-1307_7272023_1212_019.gcd	Unknown	0	5.998	1599924	120467	181.845	-----	68.073	61.857	-----	-----
21	A-1308_7272023_1212_020.gcd	Unknown	0	5.999	1577701	118947	179.319	-----	70.015	63.996	-----	-----
22	A-1309_7272023_1212_021.gcd	Unknown	0	5.998	1721113	129780	195.619	-----	76.086	70.761	-----	-----
23	A-1310_7272023_1212_022.gcd	Unknown	0	5.999	1509858	113607	171.608	-----	74.902	69.528	-----	-----
24	A-1311_7272023_1212_023.gcd	Unknown	0	5.997	1672994	125638	190.15	-----	73.171	67.602	-----	-----
25	A-1312_7272023_1212_024.gcd	Unknown	0	5.998	1669242	125238	189.723	-----	53.932	47.189	-----	-----
26	200$200$0_7272023_1212_025.gcd	Unknown	0	5.999	2083820	156634	236.843	-----	58.175	51.366	-----	-----
27	0$0$0.5_7272023_1212_026.gcd	Unknown	0	5.996	751766	56111	85.444	-----	98.015	97.547	-----	-----
28	A-1313_7272023_1212_027.gcd	Unknown	0	5.999	1316123	98869	149.588	-----	42.208	35.685	-----	-----
